date,day,time
10/19/2020,585,1.01
10/20/2020,586,1.22
10/21/2020,587,1.23
10/22/2020,588,1.02
10/24/2020,589,1.51
10/25/2020,590,1.77
10/26/2020,591,1.13
10/27/2020,592,1.67
10/28/2020,593,1.21
10/29/2020,594,1.06
10/31/2020,595,1.45
11/1/2020,596,1.7
11/2/2020,597,1.3
11/3/2020,598,1.4
11/4/2020,599,0.94
11/5/2020,600,1.01
11/7/2020,601,1.12
11/8/2020,602,1.91
11/9/2020,603,1.06
11/10/2020,604,1.21
11/11/2020,605,1.1
11/12/2020,606,1.06
11/14/2020,607,1.59
11/15/2020,608,0.92
11/16/2020,609,1.02
11/17/2020,610,1.2
11/18/2020,611,1.02
11/19/2020,612,1.23
11/21/2020,613,1.38
11/22/2020,614,1.51
11/23/2020,615,1.38
11/24/2020,616,1.01
11/25/2020,617,1.57
11/26/2020,618,1.45
11/28/2020,619,1.33
11/29/2020,620,1.62
11/30/2020,621,1.36
12/1/2020,622,1.43
12/2/2020,623,1.05
12/3/2020,624,1.4
12/5/2020,625,1.52
12/6/2020,626,1.49
12/7/2020,627,1.29
12/8/2020,628,1.36
12/9/2020,629,1.14
12/10/2020,630,1.32
12/12/2020,631,1.46
12/13/2020,632,1.68
12/14/2020,633,1.3
12/15/2020,634,1.31
12/16/2020,635,1.48
12/17/2020,636,1
12/19/2020,637,1.51
12/20/2020,638,1.52
12/21/2020,639,1.49
12/22/2020,640,1.71
12/23/2020,641,1.66
12/24/2020,642,1.3
12/26/2020,643,1.62
12/27/2020,644,1.57
12/28/2020,645,1.35
12/29/2020,646,1.23
12/30/2020,647,1.45
12/31/2020,648,1.34
1/2/2021,649,1.18
1/3/2021,650,1.65
1/4/2021,651,1.28
1/5/2021,652,1.51
1/6/2021,653,1.24
1/7/2021,654,1.27
1/9/2021,655,1.15
1/10/2021,656,1.87
1/11/2021,657,1.34
1/12/2021,658,1.21
1/13/2021,659,1.32
1/14/2021,660,0.71
1/16/2021,661,1.21
1/17/2021,662,0.91
1/18/2021,663,1.07
1/19/2021,664,0.96
1/20/2021,665,1.02
1/21/2021,666,0.94
1/23/2021,667,1.29
1/24/2021,668,1.83
1/25/2021,669,1.4
1/26/2021,670,1.77
1/27/2021,671,1.65
1/28/2021,672,1.53
1/30/2021,673,1.35
1/31/2021,674,1.6
2/1/2021,675,1.26
2/2/2021,676,1.26
2/3/2021,677,1.48
2/4/2021,678,1.41
2/6/2021,679,1.45
2/7/2021,680,1.79
2/8/2021,681,1.29
2/9/2021,682,1.73
2/10/2021,683,1.41
2/11/2021,684,1.41
2/13/2021,685,1.77
2/14/2021,686,1.88
2/15/2021,687,1.46
2/16/2021,688,1.7
2/17/2021,689,0.74
2/18/2021,690,0.48
2/20/2021,691,1.21
2/21/2021,692,1.77
2/22/2021,693,1.72
2/23/2021,694,1.89
2/24/2021,695,1.64
2/25/2021,696,1.39
2/27/2021,697,1.64
2/28/2021,698,1.73
3/1/2021,699,1.38
3/2/2021,700,1.7
3/3/2021,701,1.66
3/4/2021,702,1.35
3/6/2021,703,1.46
3/7/2021,704,1.71
3/8/2021,705,1.28
3/9/2021,706,1.35
3/10/2021,707,1.5
3/11/2021,708,1.32
3/13/2021,709,1.67
3/14/2021,710,1.87
3/15/2021,711,1.62
3/16/2021,712,1.8
3/17/2021,713,1.37
3/18/2021,714,1.6
3/20/2021,715,1.79
3/21/2021,716,1.56
3/22/2021,717,1.54
3/23/2021,718,1.94
3/24/2021,719,1.26
3/25/2021,720,1.26
3/27/2021,721,1.37
3/28/2021,722,1.76
3/29/2021,723,1.21
3/30/2021,724,1.83
3/31/2021,725,1.48
4/1/2021,726,1.5
4/3/2021,727,1.61
4/4/2021,728,1.63
4/5/2021,729,1.72
4/6/2021,730,1.8
4/7/2021,731,1.47
4/8/2021,732,1.65
4/10/2021,733,1.96
4/11/2021,734,1.78
4/12/2021,735,1.22
4/13/2021,736,1.41
4/14/2021,737,1.1
4/15/2021,738,1.08
4/17/2021,739,1.42
4/18/2021,740,1.68
4/19/2021,741,1.22
4/20/2021,742,1.3
4/21/2021,743,1.55
4/22/2021,744,1.03
4/24/2021,745,1.34
4/25/2021,746,1.66
4/26/2021,747,1.07
4/27/2021,748,1.49
4/28/2021,749,1.1
4/29/2021,750,1.08
5/1/2021,751,1.28
5/2/2021,752,1.54
5/3/2021,753,1.36
5/4/2021,754,1.3
5/5/2021,755,1.26
5/6/2021,756,0.93
5/8/2021,757,1.25
5/9/2021,758,1.32
5/10/2021,759,1.12
5/11/2021,760,1.19
5/12/2021,761,0.7
5/16/2021,762,1.48
5/17/2021,763,1.37
5/18/2021,764,1.61
5/19/2021,765,1.39
5/20/2021,766,1.71
5/22/2021,767,1.48
5/23/2021,768,2.07
5/24/2021,769,1.61
5/25/2021,770,1.85
5/26/2021,771,1.59
5/27/2021,772,1.82
5/29/2021,773,1.45
5/30/2021,774,2.08
5/31/2021,775,1.69
6/1/2021,776,1.81
6/2/2021,777,1.66
6/3/2021,778,1.5
6/5/2021,779,1.34
6/6/2021,780,2.18
6/7/2021,781,1.66
6/8/2021,782,1.67
6/9/2021,783,1.59
6/10/2021,784,1.1
6/12/2021,785,1.54
6/13/2021,786,1.83
6/14/2021,787,1.56
6/15/2021,788,1.7
6/16/2021,789,1.27
6/17/2021,790,1.33
6/19/2021,791,1.59
6/20/2021,792,1.64
6/21/2021,793,1.4
6/22/2021,794,1.81
6/23/2021,795,1.4
6/24/2021,796,1.54
6/26/2021,797,1.61
6/27/2021,798,1.92
6/28/2021,799,1.42
6/29/2021,800,1.6
6/30/2021,801,1.08
7/1/2021,802,1.33
7/3/2021,803,1.74
7/4/2021,804,1.71
7/5/2021,805,1.84
7/6/2021,806,1.91
7/7/2021,807,1.32
7/8/2021,808,1.57
7/10/2021,809,1.3
7/11/2021,810,1.93
7/12/2021,811,1.38
7/13/2021,812,1.43
7/14/2021,813,1.57
7/15/2021,814,1.57
7/17/2021,815,1.81
7/18/2021,816,1.96
7/19/2021,817,1.07
7/24/2021,818,1.29
7/25/2021,819,2.1
7/26/2021,820,1.65
7/27/2021,821,1.56
7/28/2021,822,1.5
7/29/2021,823,1.74
7/31/2021,824,1.63
8/1/2021,825,1.88
8/2/2021,826,1.57
8/3/2021,827,1.55
8/4/2021,828,1.75
8/5/2021,829,1.63
8/7/2021,830,1.36
8/8/2021,831,1.65
8/9/2021,832,1.29
8/10/2021,833,1.49
8/11/2021,834,1.66
8/12/2021,835,1.12
8/14/2021,836,1.32
8/15/2021,837,1.53
8/16/2021,838,1.64
8/17/2021,839,1.51
8/18/2021,840,1.28
8/19/2021,841,1.07
8/21/2021,842,1.11
8/22/2021,843,1.8
8/23/2021,844,1.38
8/24/2021,845,1.49
8/25/2021,846,1.28
8/26/2021,847,1.18
8/28/2021,848,1.46
8/29/2021,849,1.91
8/30/2021,850,1.24
8/31/2021,851,1.66
9/1/2021,852,1.39
9/2/2021,853,1.08
9/4/2021,854,1.3
9/5/2021,855,1.82
9/6/2021,856,1.19
9/7/2021,857,1.45
9/8/2021,858,1.41
9/9/2021,859,1.09
9/11/2021,860,1.49
9/12/2021,861,1.82
9/13/2021,862,1.25
9/14/2021,863,1.59
9/15/2021,864,1.54
9/16/2021,865,1.33
9/18/2021,866,1.4
9/19/2021,867,1.83
9/20/2021,868,1.49
9/21/2021,869,1.26
9/22/2021,870,1.44
9/23/2021,871,1.33
9/25/2021,872,1.49
9/26/2021,873,1.96
9/27/2021,874,1.29
9/28/2021,875,1.44
9/29/2021,876,1.69
9/30/2021,877,1.1
10/2/2021,878,1.34
10/3/2021,879,2
10/4/2021,880,1.75
10/5/2021,881,1.45
10/6/2021,882,1.48
10/7/2021,883,1.82
10/9/2021,884,1.33
10/10/2021,885,1.76
10/11/2021,886,1.24
10/12/2021,887,1.44
10/13/2021,888,1.3
10/14/2021,889,1.29
10/16/2021,890,1.01
10/17/2021,891,1.79
10/18/2021,892,1.17
10/19/2021,893,1.15
10/20/2021,894,1.28
10/21/2021,895,1.15
10/23/2021,896,1.1
10/24/2021,897,1.73
10/25/2021,898,0.88
10/26/2021,899,1.58
10/27/2021,900,1.1
10/28/2021,901,0.91
10/30/2021,902,1
10/31/2021,903,1.74
11/1/2021,904,1.04
11/2/2021,905,1.78
11/3/2021,906,1.43
11/4/2021,907,1.27
11/6/2021,908,1.42
11/7/2021,909,1.63
11/8/2021,910,1.29
11/9/2021,911,1.37
11/10/2021,912,1.39
11/11/2021,913,1.27
11/13/2021,914,1.4
11/14/2021,915,1.86
11/15/2021,916,1.3
11/16/2021,917,1.68
11/17/2021,918,1.42
11/18/2021,919,1.48
11/20/2021,920,1.34
11/21/2021,921,1.59
11/22/2021,922,1.28
11/23/2021,923,1.54
11/24/2021,924,1.17
11/25/2021,925,1.5
11/27/2021,926,1.45
11/28/2021,927,1.66
11/29/2021,928,0.95
11/30/2021,929,1.54
12/1/2021,930,1.29
12/2/2021,931,1.1
12/4/2021,932,1.47
12/5/2021,933,1.97
12/6/2021,934,1.39
12/7/2021,935,1.37
12/8/2021,936,1.66
12/9/2021,937,1.42
12/11/2021,938,1.26
12/12/2021,939,1.89
12/13/2021,940,1.49
12/14/2021,941,1.27
12/15/2021,942,1.48
12/16/2021,943,1.55
12/18/2021,944,1.35
12/19/2021,945,1.6
12/20/2021,946,1.57
12/21/2021,947,1.04
12/22/2021,948,1.52
12/23/2021,949,1.08
12/25/2021,950,1.33
12/26/2021,951,1.6
12/27/2021,952,1.18
12/28/2021,953,1.51
12/29/2021,954,1.43
12/30/2021,955,1
1/1/2022,956,0.97
1/2/2022,957,1.7
1/3/2022,958,1.48
1/4/2022,959,1.33
1/5/2022,960,1.74
1/6/2022,961,1.61
1/8/2022,962,1.45
1/9/2022,963,2.02
1/10/2022,964,1.33
1/11/2022,965,1.35
1/12/2022,966,1.63
1/13/2022,967,1.17
1/15/2022,968,1.43
1/16/2022,969,1.33
1/17/2022,970,1.13
1/18/2022,971,1.04
1/19/2022,972,0.82
1/20/2022,973,0.6
1/22/2022,974,1.24
1/23/2022,975,1.55
1/24/2022,976,1.19
1/25/2022,977,1.47
1/26/2022,978,1
1/29/2022,979,0.99
1/30/2022,980,1.16
1/31/2022,981,1.28
2/1/2022,982,0.66
2/2/2022,983,1.49
2/3/2022,984,1.22
2/5/2022,985,1.12
2/6/2022,986,1.26
2/7/2022,987,0.97
2/8/2022,988,0.96
2/9/2022,989,1.45
2/10/2022,990,1.14
2/12/2022,991,1.13
2/13/2022,992,1.63
2/14/2022,993,1.03
2/15/2022,994,1.1
2/16/2022,995,1.76
2/17/2022,996,1.4
2/19/2022,997,1.48
2/20/2022,998,1.75
2/21/2022,999,1.7
2/22/2022,1000,1.56
2/23/2022,1001,1.65
2/24/2022,1002,1.28
2/26/2022,1003,1.32
2/27/2022,1004,1.56
2/28/2022,1005,1.22
3/1/2022,1006,1.29
3/2/2022,1007,1.69
3/3/2022,1008,1.11
3/5/2022,1009,1.5
3/6/2022,1010,1.68
3/7/2022,1011,1.34
3/8/2022,1012,1.3
3/9/2022,1013,1.31
3/10/2022,1014,1.23
3/12/2022,1015,0.88
3/13/2022,1016,1.26
3/14/2022,1017,1.25
3/15/2022,1018,1.17
3/16/2022,1019,1.28
3/17/2022,1020,1.48
3/19/2022,1021,1.7
3/20/2022,1022,1.61
3/21/2022,1023,1.2
3/22/2022,1024,1.13
3/23/2022,1025,1.93
3/24/2022,1026,0.8
3/26/2022,1027,1.54
3/27/2022,1028,1.3
3/28/2022,1029,1.12
3/29/2022,1030,1.51
3/30/2022,1031,1.72
3/31/2022,1032,1.41
4/2/2022,1033,1.11
4/3/2022,1034,1.46
4/4/2022,1035,1.08
4/5/2022,1036,1.26
4/6/2022,1037,1.29
4/7/2022,1038,1.04
4/9/2022,1039,1.23
4/10/2022,1040,1.44
4/11/2022,1041,0.95
4/12/2022,1042,1.13
4/13/2022,1043,1.24
4/14/2022,1044,1.13
4/16/2022,1045,1.39
4/17/2022,1046,1.57
4/18/2022,1047,1.1
4/19/2022,1048,1.12
4/20/2022,1049,1.12
4/21/2022,1050,0.93
4/23/2022,1051,1.24
4/24/2022,1052,1.38
4/25/2022,1053,0.98
4/26/2022,1054,1.1
4/27/2022,1055,1.22
4/28/2022,1056,1.27
4/30/2022,1057,0.95
5/1/2022,1058,1.3
5/7/2022,1059,0.93
5/8/2022,1060,1.89
5/9/2022,1061,0.99
5/10/2022,1062,1.18
5/11/2022,1063,1.63
5/12/2022,1064,1.56
5/14/2022,1065,1.4
5/16/2022,1066,1.17
5/17/2022,1067,1.46
5/18/2022,1068,1.75
5/19/2022,1069,1.69
5/21/2022,1070,1.52
5/22/2022,1071,2
